start	end	text
31	4735	I will endeavor our efforts and our contribution to the world.
5456	11802	This is the first time in our city's history that City Hall is lit up in the lights and colors of the Korean flag.
12022	21551	It signifies the fact that the Korean American community is valued and that we matter and that we're part of the larger fabric and family of Los Angeles.
22833	29599	We know that Los Angeles is for everyone and it's important to celebrate each other and that's what we're doing right now.
34000	40389	Preparing for college is an intimidating process, made a little easier by the Los Angeles Public Library.
40810	48240	Their workshop at the Chinatown Branch broke down the application process, highlighted what to expect, and featured a local success story.
55090	60177	So today we're here at the Chinatown Branch Library for a Get Ready for College program.
61507	78115	We are here today to talk about the college admission process at the Chinatown Public Library as one of the assistant directors of admission and also as someone who's from Chinatown, I think it's a great honor to be able to come here, talk to the students, give a little bit more insight about it and also share my story as well.
78095	98905	I showed up to the college workshop today because I am a rising junior and I wanted to know more about the college process and how to be you know get a better chance to getting like some colleges like UC's that you know are closer to me.
98885	102589	Going through college is a hard, long process.
103090	105713	Basically, you need to read all the applications yourself.
105753	111380	You need to decide whether you want to go to a big school, a small population, what curriculum.
111901	122073	So today is more for, instead of you diving through by yourself, there are people here just to walk you through, to guide you through, to give you pointers on where to go to find out more information on what you need.
122193	124656	Focus on writing about yourself and your own story.
124636	127521	So the difference between college and high school is a lot.
127541	130767	I think applying to college you realize that there's a lot.
130787	136036	There's ways to kind of pursue your career for the long run and also it's a very different environment.
136056	137639	You meet folks from all over the world.
138581	140224	You are also learning about yourself.
140244	141366	You're living on your own.
141847	148298	So I think there's a big difference in terms of just kind of figuring out your purpose and you're also in an environment to do so.
148278	157729	I think it's really important right now to get this information since there's so much you know misinformation about college.
158049	172345	I hope after this event that students are able to kind of feel less intimidated by the college application process so I hope I was able to give them the confidence to apply and also ask questions and share their story with us.
174772	177441	providing a cleaner environment in South LA.
177682	187093	Councilmember Curran Price celebrated more green spaces and links between the area's parks, rolling out an expansion of the Greenway Network in South LA.
189470	194235	Today we're going to be announcing expansion of the CD9 Greenway Network.
195417	208030	We're excited to be here today to celebrate the importance of open space, green space, rededicating the commitment CD9 has to creating a livable environment for kids, for seniors, for all.
208311	213216	Initially our Greenway encompassed Slauson from Normandy to Compton Boulevard.
213196	218890	We also quickly incorporated Avalon, because along Avalon, we have three parks and a bikeway.
218910	222479	And last week, we inaugurated a greenway along MLK.
222639	227030	And so we've got an interesting network, a greenway network in City and I.
227250	228573	And today, we're going to be celebrating that.
228694	231340	We're kicking it off this morning, and then we're going to take a bike ride.
234475	253530	That green corridor, which is the one we just walked through now, filled me with joy because I saw the whole community, children, adults, adults, happy and just waiting for more events like this to come because the community needs it so much and we are very happy and grateful.
253510	277290	I really like it and I do see a lot of the community coming out and it makes me happy and proud that we have a place to come and gather where people can exercise and live a healthy life.
278013	285025	Some would say that District 9 is a concrete jungle, but what I see what the Councilman is doing, he's opening up green spaces.
285246	293220	It's just wonderful to be able to walk into a community where you can have some peace, some quiet, and just think and meditate.
293892	297377	The council has done all this for us, for our community.
297397	307951	That is his legacy and the truth is that I saw my daughter grow up here and now I see how she enjoys the parks and all the benefits and all the good things she has done for us.
308031	313999	So that is also a call for the community to come and see the green areas where they are.
314600	321790	It helps the environment and also, as I repeat, it helps you healthily, mentally and also your body.
325803	332362	Folks need to be able to enjoy their environment safely, and the environment needs to be conducive for that.
332483	340065	So we encourage open space, green space, and folks to walk, to bike, and to enjoy the outdoors.
346880	350330	$4.5 million of stolen cargo is recovered.
350912	357912	San Fernando Gardens gets climate resilient and there's a new general manager at the city's El Pueblo Historical Monument.
358433	360720	These stories up next on City Beat.
367096	378271	The Los Angeles Police Department's Commercial Crimes Division announced the seizure of $4.5 million in stolen property and the arrest of a key individual for retail and cargo theft.
378771	390927	LAPD worked with LA Port Police and Union Pacific Police to recover tools, appliances, e-bikes and other items, which were being fenced through a storefront and online platform.
390907	400846	According to LAPD Chief Jim McDonald, protecting the integrity of the supply chain is vital to public safety as well as the economic stability of Los Angeles.
401427	409301	Anyone with information on retail or cargo crime is urged to contact Crimestoppers, where tips can be reported anonymously.
409782	413910	For more information, visit LAPDOnline.org.
416253	424032	L.A. City Housing Authority, HACLA, was joined by Congresswoman Rivas to tour new energy-efficient upgrades at San Fernando Gardens.
424754	433536	Federal funds of $3.5 million are being used to bring more sustainable and resilient living conditions to nearly 1,500 residents.
433516	442664	HACLA is installing 448 energy-efficient air conditioning units donated by the Office of Mayor Bass and the L.A. Department of Water and Power.
443284	453033	The community center at San Fernando Gardens has also been upgraded to serve as a resiliency center with backup solar power energy in case of a heat emergency.
453733	463101	According to HACLA, extreme weather adversely impacts the San Fernando Valley, and these enhancements will improve the quality of life for public housing residents.
463081	465804	For more information, visit hackla.org.
468587	476917	LA City Council has confirmed Dominica Lynch as the new general manager of El Pueblo Historical Monument and its first Latina leader.
476937	487890	A graduate of the University of Southern California, Lynch has more than 20 years' experience in nonprofit organizations supporting Latino and other underrepresented communities.
487870	498004	According to Mayor Bass, El Pueblo's leader needs to preserve its history and activate business and event space, especially during this challenging time for immigrant communities.
498745	502310	Lynch will begin as general manager of El Pueblo on October 20th.
502871	507938	For more information, visit mayor.lacity.gov slash press.
515275	522367	Councilwoman Heather Hutt celebrated with community members as the city designated the home of Tom Bradley, a historical monument.
522968	529960	This was just one of a series of African American landmarks being honored, adding to the rich cultural tapestry of Los Angeles.
532910	534091	It's so exciting.
534111	536193	We're at the home of Tom Bradley.
536394	542520	He was a mayor for 20 years in Los Angeles and he was the council member right here in the 10th district first.
542961	548967	We're in Lamar Park and what we've done is designated his home as a historical monument.
549347	561280	His children are here and they've been able to talk about their experience growing up in a community that wasn't really as multicultural as it is today.
561260	568500	And then coming from that, we're going to St. Elmo's Village to talk about youth's contributions to this city.
568941	576602	And then we're moving to Catch One, which was Jules Tyus Williams' big club for LGBTQ community.
579316	589296	The African American Historic Places LA project is a joint project between the City of Los Angeles' Office of Historic Resources and the Getty Conservation Institute.
589316	597072	So some of these sites that we are designating are not architecturally significant or have an architecturally high style, so you could miss them.
597389	607984	St. Omo Village is an artist enclave, a set of 10 bungalows that were created by Roderick and Rozelle Sykes because they were shunned from the art world.
608164	612991	They couldn't get their paintings sold in mainstream white art institutions.
613412	616596	And they also wanted an opportunity for anybody.
616576	619299	people of color, anybody to have access to art.
619640	626148	And then Catch One, sadly, we lost Jules, who is the owner and creator of Catch One.
626409	631095	And she opened the first black gay disco in the United States.
631515	635660	And that was also during a time where folks were still ostracized.
635981	638644	So that club became a haven for everyone.
639185	645553	It's a symbol of hope for the LGBTQ plus community now, and it still operates as a dance club.
647120	654788	So if you walk down the Tom and Ethel Bradley residence and that plaque wasn't there or the signage wasn't there, you would think that it was an ordinary home.
654848	657271	It is an ordinary home, but it has an extraordinary story.
659273	666621	He and his family bought this house at a time where there were restrictive covenants, where non-whites couldn't live in the community.
666922	671727	So they broke barriers, not only broke barriers in the community, but broke barriers in the police force.
673107	674950	My sister and family moved here.
674990	683745	My parents, brave as they were to make that move in 1950 to come to this area where we were not appreciated, where we were actually hated.
684266	688753	Riding down the street and seeing all the neighbors come out waving and
688733	689474	I was afraid.
689915	692319	Like my mother said, she didn't know what she was driving up into.
692639	697046	Took the neighbors a long time to come to the realization that we were just like them.
697667	704818	And because of it, there's a whole generation out there that are benefiting from the courage that mom and dad had.
708005	712876	So we're just showing what historical locations we have in the 10th district.
713177	723921	It's a very exciting day, especially for folks that have worked hard to commemorate these spaces at a time where so much of our history is trying to be erased.
731680	738661	Summer fun at the pool is a chance to try out all the activities that LA City's Department of Recreation and Parks has to offer.
739143	743496	Time to swim by the Westwood Rec Center and dive into their pool party.
746024	751892	So today we're at the Westwood Rec Center and today we're doing the pool party that we host annually every summer.
752613	768994	We're working with Council District 5 and we're here to support the West LA community and basically what we do, we introduce them to our learn to swim programs, our small craft programs and today we have a fortunate opportunity to introduce our Wibbit that they're utilizing and they're having a blast.
771100	777135	We have a small craft program where we introduce learn to surf, learn to paddle, and then we also do learn to kayak.
777416	784755	So, you know, giving the community members an opportunity to see those that they don't normally see and it gets them more prepped for open bodies of water.
787486	790750	My kids have loved coming to the Westwood Pool.
791310	797197	My older one has been doing swim team, she did Camp Splash, and the littler one is taking little lessons here and now.
797257	799440	This place is like home, we love it.
800321	804426	They love the slide, that giant inflatable slide.
804666	806088	They went on it five or six times.
807750	814978	And then they enjoyed the food, of course, and I think they're going back in right now to go back on that slide, but maybe they'll do some paddle boarding too.
818738	820525	This is a fun park.
820545	821910	I love it.
821930	823877	And it also has a nice swimming pool.
823897	829197	It's a lovely water jungle, didn't I call it?
829217	829639	It's really fun.
829659	829980	I love it.
844220	846885	So all of our pool parties are free to the community.
847266	850872	You know, we want to get as many people introduced to our aquatic facilities.
850972	863275	We want everybody to know that they have a pool in their neighborhood and we want them to feel supported and we want them to be introduced to a lot of our programs to make them feel safe and mainly to educate them on water safety.
873700	877330	Sex trafficking of minors is taking place in parts of Los Angeles.
877752	883267	LA City Attorney Heidi Feldstein Soto has made disrupting the demand her top priority.
883809	888081	She highlights a number of tactics being brought to bear on those committing these crimes.
893326	904279	I came into this office and I was surprised at what I found in terms of how human beings treat our young people and our kids.
908824	918355	And my first project in collaboration with Mayor Bass and Councilmember Marquise Harris-Dawson was focused on the sex trafficking of minors.
920360	928309	Protecting our children and sort of finding ways to stop the exploitation and abuse of our kids has been one of my top priorities.
933675	939042	I focused on what's known as the kiddie stroll, K-I-D-D-I-E, about little children.
939762	944528	And these are kids who are taken out and paraded on the street for sex.
948760	955154	In the Figueroa Street Initiative, we have rescued over 200 minor children, the youngest of whom was 12.
955756	960526	And we've provided, delivered them into the hands of service providers and helped them get off the streets.
961328	964896	We've also focused on shutting down the motels.
964876	969505	that are crime magnets and who don't bring themselves into compliance with applicable law.
970386	979303	And on arresting felons, predators, Kimps, we've referred, I think, 74 cases to the U.S. attorney or the D.A.
979283	981687	's office for prosecution.
981667	987780	And probably one of my favorite things that I learned in the course of this initiative is we send out Dear John letters.
988441	996759	So part of our effort is to disrupt the demand from the adult men who were there to purchase sex from a young child.
997541	998663	And we
998643	1008933	have surveillance cameras, we get a picture or photograph of the automobile with the license plate and of the man basically doing the transaction for sexual services.
1009534	1018543	And we send the photograph and a letter to the registered owner of the vehicle saying, dear registered owner, your car has been seen in an area known for human trafficking of minors.
1018883	1022387	Please be aware we're conducting operations in the area and be more careful.
1023248	1025730	The registered owner is usually the spouse.
1027752	1040833	And we're going to stop the illegal street walking trafficking of our kids on Figueroa and on what's known as the Sepulveda track in the valley for the parents of children.
1042062	1046529	where the parents think there may have been abused, please report it to the LAPD.
1047170	1053700	They have officers trained in working with very young victims, and they will get it into the right hands.
1054080	1060129	If you're undocumented and you're not comfortable reporting it to the LAPD, my office has a helpline.
1060770	1065117	We have a program that's dedicated to children exposed to violence.
1065097	1068922	I note that I am the first female city attorney.
1069282	1071645	I'm the first Latina elected citywide.
1072206	1076651	And so many of our young victims are black and brown girls.
