start	end	text
6089	14077	Located between Silver Lake to the west and Chinatown to the east, Echo Park Lake has been a central part of the community since the 19th century.
14617	23506	The lake was originally created in 1868 as a drinking water reservoir, with water supplied by a ditch connecting it to the Los Angeles River near Los Feliz.
23966	28290	Soon after, 33 acres of land were donated to the city to establish a public park.
28731	35117	During landscaping in 1892, workers noticed sounds echoing across the area, inspiring the name Echo Park.
35097	39365	Today, the lake features a flat one-mile loop popular with walkers and runners.
39806	48803	Local running groups often train here, including members of the Los Angeles Fire Department, who are among the 27,000 runners participating in the Los Angeles Marathon.
50892	57366	We are at Dodger Stadium, and I believe it's about 6.30 a.m. in the morning, half hour before the start time of the L.A. Marathon.
57386	67888	For me, this is my tenth year in a row running the L.A. Marathon, and every year I run it for a charity that hits close to home with us, Widows, Orphans, and Disabled Firefighters Fund.
67868	73003	Personally, it's my first one, and I didn't fundraise, but Kelly here did.
73425	79262	By doing fundraising like this, it brings great attention to all the different foundations that you might not know about.
79623	81810	I think that's awesome, and there's a bunch of different ones.
108233	111277	We are supporting my twin sister.
111317	114260	She had foot surgery, like, two years ago.
114280	126134	So being in a marathon is, like, impossible to think of.
126154	130940	So it's great to see her out here and proving us all wrong.
130960	134764	You only live once, so you might as well, while you have the chance, go run it.
137613	138494	You gotta try it once.
138895	144162	Anything for a good cause, anything to promote health, nutrition, support the community as a whole.
152194	155579	My wife is running, this is her first official full marathon.
155599	157061	She's running this for her 40th birthday.
157321	162068	She's had some health struggles that she's overcome and so it's a huge achievement for her to accomplish this today.
169321	174491	not a sprint, so kind of like use that metaphor in your head, just keep going, don't stop.
174811	182706	You face so many obstacles and hurdles in your life that you have to overcome, you have to persevere through, and I feel like running a marathon is exactly that.
185420	190467	I helped this year with putting together a fire department marathon team for the Los Angeles Fire Department.
190487	195594	I think it's good to get the legs going and keep the fitness standards up to where they should be with our department.
195755	202544	Being a part of this running community within our smaller organization has really motivated me to train hard.
202805	208052	Being able to run through the city that you work in is actually a pretty awesome experience.
208910	211153	All running's gonna hurt regardless.
211614	218804	You definitely just have to go out and do it, and once you're finished with it, it's so gratifying at the end, and it's infinitely worth it.
219345	221548	We are at almost the 26-mile marker.
221848	227416	It's just a lot of cheering people on and getting people excited and giving them that last little push before they cross the finish line.
227757	230260	Right here is where they need the last push the most.
244516	249264	They gave me some extra swag for 10 years in a row, a little tenure medal.
256557	260764	To be a good firefighter for the City of Los Angeles, the number one thing is heart.
261506	268077	You've got to have dedication and you've got to have a will to want to help people, to be a public servant.
268141	272531	Here at Frank Hodgkin's Memorial Training Center, we're having the LAFD Career Expo.
